,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11
0,125.0,2.0889,1.3595,2.2634,2.3743,2.9176,Economy,1.9081,5.4498,2.0091,4.989,3.9542,220.195
1,126.0,3.0909,1.328,2.3229,2.3046,2.4206,Sports,0.2584,5.6389,2.0841,3.3532,3.0805,39.4783
2,127.0,3.8928,1.8567,2.0985,3.1089,2.3355,Economy,1.3913,5.1612,2.3745,3.7653,3.6659,32.906
3,128.0,2.7304,1.8253,3.7257,3.7948,2.9224,Economy,1.2364,5.5771,2.2862,3.9041,2.6861,224.4651
4,129.0,3.6508,1.8016,2.571,3.3722,2.4044,High-Performance,0.9927,5.7144,2.2631,3.4053,2.9653,328.8107
5,130.0,3.5746,1.8998,2.6199,3.2991,2.8305,Economy,1.356,5.8099,2.8922,4.39,2.1994,359.3527
6,131.0,2.1039,1.755,2.5172,3.7786,2.0145,Economy,0.6435,5.1199,2.408,3.8762,3.3061,497.6771
7,132.0,3.4736,1.9767,3.4419,3.7376,2.5427,Economy,1.1539,5.6261,2.8068,4.7868,2.402,635.9972
8,133.0,3.0197,1.7335,3.5757,3.4995,2.7694,Economy,1.4683,5.6295,2.801,4.157,2.6147,589.2124
9,134.0,3.4023,1.6015,3.1952,2.1546,2.6265,Sports,1.1774,5.343,2.9848,3.8222,3.3135,531.9637
10,135.0,2.0083,1.7733,3.8644,2.625,2.2315,Economy,0.6041,5.3561,2.0581,3.0551,2.26,506.7975
11,136.0,2.2212,1.0131,1.0863,2.6679,2.0389,Sports,1.3628,5.482,2.7545,4.1789,2.7808,418.2561
12,137.0,2.8357,1.6057,3.2099,2.8465,2.2775,Economy,0.9123,5.4667,2.9435,4.894,2.336,176.6979
13,138.0,2.2228,1.3236,2.7346,2.9416,2.0446,Sports,0.0155,5.244,2.4422,3.9084,2.2823,178.9218
14,139.0,2.7612,1.3725,2.6453,3.0739,2.3499,High-Performance,0.3183,5.9489,2.0847,3.4625,2.384,161.7277
15,140.0,2.8179,1.6018,3.4448,3.411,2.6825,Sports,1.4828,5.9566,2.9392,3.984,2.1091,140.7528
16,141.0,3.0058,1.6456,3.6614,2.0396,2.0354,High-Performance,1.6641,5.5809,2.2788,3.9775,2.6093,310.7117
17,142.0,3.8886,1.2483,3.0806,3.2267,2.3946,High-Performance,0.2573,5.9308,2.2674,4.2758,3.1817,307.4106
18,143.0,3.5676,1.3871,3.5639,3.9494,2.1473,Sports,1.9836,5.2926,2.8768,3.5210000000000004,2.0521,432.3686
19,144.0,3.0512,1.7077,1.0669,2.5945,2.445,High-Performance,1.0432,5.9071,2.545,3.6076,3.2515,299.0236
20,145.0,2.4069,1.5387,2.7143,3.674,2.0076,Sports,0.5417,5.4354,2.307,4.3601,3.9675,232.3616
21,146.0,2.9274,1.7675,2.5337,3.3753,2.6739,High-Performance,0.8864,5.2544,2.8001,4.3876,3.5561,329.5163
22,147.0,2.048,1.0915,2.7049,3.9254,2.104,High-Performance,1.9708,5.3162,2.0447,3.7893,3.7173,323.8386
23,148.0,3.5849,1.7463,2.5153,2.4489,2.2595,High-Performance,0.6529,5.3889,2.3204,3.6715,3.7691,74.7595
24,149.0,3.4908,1.0157,1.9709,3.5661,2.545,High-Performance,0.0901,5.5854,2.8955,4.7577,3.3377,212.1769
25,150.0,2.7901,1.8369,3.1271,2.6356,2.7032,Economy,0.3729,5.8813,2.9626,4.3394,2.9965,142.7116
26,151.0,3.8338,1.8601,2.7971,3.9611,2.06,High-Performance,1.1394,5.1080000000000005,2.4742,3.5135,2.7681,218.6161
27,152.0,3.3242,1.1952,2.9287,2.9686,2.2865,Sports,0.7402,5.4694,2.4078,3.4668,2.709,128.1001
28,153.0,3.3143,1.5858,1.8659,3.4837,2.4713,High-Performance,0.7721,5.9598,2.9588,4.4163,3.1154,112.6403
29,154.0,2.4407,1.1101,3.3113,3.0614,2.964,Economy,0.46,5.3023,2.2553,4.7502,2.6895,183.1433
