,Engine ID,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11,Cost
0,221.0,1.0,3.9692,1.5421,2.1931,2.3148,2.9762,Economy,1.4631,5.8616,2.8612,3.8845,2.594,102.6289,10.0
1,221.0,2.0,3.4291,1.4716,3.313,3.0909,2.0409,High-Performance,1.367,5.827999999999999,2.4413,3.9105,2.2695,263.9804,10.0
2,221.0,3.0,3.2526,1.3978,3.5533,3.7476,2.7922,Economy,1.2549,5.0393,2.1323,4.8799,2.5823,515.7059,10.0
3,221.0,4.0,2.2002,1.1333,2.1238,3.4581,2.6538,Economy,0.8584,5.0554,2.1211,4.5396,2.2119,883.6909,10.0
4,221.0,5.0,3.9117,1.5313,1.6156,2.3479,2.0928,Economy,0.2211,5.3512,2.8792,4.9402,3.694,1333.0629999999999,10.0
5,221.0,6.0,2.0233,1.3057,3.3096,3.2584,2.2843,Sports,1.4262,5.6588,2.1037,3.9427,3.4056,1343.1029999999998,10.0
6,221.0,7.0,2.4553,1.7956,2.1771,3.4304,2.7348,Economy,0.4669,5.8085,2.721,3.5180000000000002,3.0978,1313.5143,10.0
7,221.0,8.0,3.6491,1.9941,3.4094,2.8362,2.3456,Sports,0.9154,5.8968,2.6145,3.7447,2.8346,1241.1979,10.0
8,221.0,9.0,2.7510000000000003,1.6292,3.612,3.5463,2.6884,Sports,0.4918,5.1881,2.6836,3.377,2.9565,1159.6526,10.0
9,221.0,10.0,3.1633,1.3169,1.6233,2.5042,2.5143,Economy,0.2398,5.4462,2.0161,3.9495,3.1211,1083.3301,10.0
10,221.0,11.0,3.5087,1.2621,2.8739999999999997,3.6175,2.6825,Sports,0.9669,5.4939,2.4703,3.5092,3.0539,1033.5411,10.0
11,221.0,12.0,2.2288,1.5959,1.5354,3.267,2.1952,Economy,1.2705,5.9693,2.6384,4.0743,2.8458,1065.9434,10.0
12,221.0,13.0,3.0011,1.5848,2.3432,2.2144,2.2101,Sports,1.1863,5.4935,2.8223,3.165,3.3882,995.2163,10.0
13,221.0,14.0,2.2201,1.1562,2.465,2.3604,2.5368,Economy,1.5215,5.4364,2.9814,4.5261,3.2475,1078.2611,10.0
14,221.0,15.0,2.889,1.9491,3.3195,2.0961,2.5208,Sports,0.8997,5.1859,2.2221,4.5068,3.6463,1142.1567,349.93351789999997
15,221.0,16.0,3.9977,1.1542,1.5491,2.5449,2.2801,Sports,1.2975,5.3335,2.5846,3.6749,2.7647,1083.7691,350.9271795
16,221.0,17.0,2.1813,1.6533,1.456,2.3055,2.0469,High-Performance,0.5944,5.7872,2.3705,3.6523,2.3838,1057.9771,351.73144560000003
17,221.0,18.0,3.7231,1.1093,2.5707,3.3232,2.394,Economy,1.7195,5.8747,2.5404,3.9888,2.3705,1163.1421,352.3928638
18,221.0,19.0,3.0722,1.4332,1.3787,3.2727,2.3756,High-Performance,1.6533,5.1046,2.4182,3.9666,3.5111,1097.7109,352.6237144
19,221.0,20.0,3.2755,1.2488,2.2391,2.7676,2.8009,Sports,1.087,5.5906,2.5265,4.5482,3.6172,1081.1449,352.3879127
20,221.0,21.0,2.6113,1.8821,3.7216,3.2247,2.5778,Sports,0.5057,5.2604,2.6673,3.4488,3.4493,1067.7663,352.1282067
21,221.0,22.0,2.9314,1.4371,2.474,2.5715,2.8029,Economy,1.6925,5.8703,2.9445,3.1819,3.8298,1061.8978,351.8931207
22,221.0,23.0,2.4267,1.5644,3.3596,2.2625,2.0493,Economy,1.4688,5.2921,2.1857,3.5823,2.1312,1054.2022,351.7172072
23,221.0,24.0,3.3431,1.3491,1.8505,2.6079,2.3229,High-Performance,0.1739,5.1846,2.5966,4.4405,3.1693,1085.6564,351.6563255
24,221.0,25.0,3.6276,1.7958,3.0037,3.6453,2.3119,Economy,0.0757,5.7071,2.6506,4.4405,2.6484,1022.7311,351.6147384
25,221.0,26.0,2.0738,1.6532,2.8184,3.6028,2.0979,High-Performance,1.2025,5.4505,2.6706,4.8959,2.0893,1107.4616,351.7027748
26,221.0,27.0,3.9063,1.7572,1.2445,3.6517,2.7489999999999997,Sports,1.5217,5.1988,2.5657,4.2108,2.2215,1190.6206,351.8438586
27,221.0,28.0,2.2369,1.0008,3.3232,2.9274,2.1546,Economy,0.2898,5.6452,2.8541,4.388,3.343,1247.7647,352.1121611
28,221.0,29.0,3.5756,1.6285,3.1283,2.5004,2.4447,High-Performance,1.149,5.831,2.843,4.7479,3.6227,1328.5706,352.3804903
